TOTAL TAX LOT YR GROSS LIVING FLOORS ROOMS BED FULL HALF KIT
VALUE SQ FT BUILT AREA AREA ROOMS BATH BATH CHEN
344.2 4330 9965 1880 2436 1352 2 6 3 1 1 1
412.6 5190 6590 1945 3108 1976 2 10 4 2 1 1
330.1 4152 7500 1890 2294 1371 2 8 4 1 1 1
498.6 6272 13,773 1957 5032 2608 1 9 5 1 1 1
331.5 4170 5000 1910 2370 1438 2 7 3 2 0 1
337.4 4244 5142 1950 2124 1060 1 6 3 1 0 1
359.4 4521 5000 1954 3220 1916 2 7 3 1 1 1
320.4 4030 10,000 1950 2208 1200 1 6 3 1 0 1
333.5 4195 6835 1958 2582 1092 1 5 3 1 0 1
409.4 5150 5093 1900 4818 2992 2 8 4 2 0 1
